ZCTA,Counties,Population Density (People per Square Kilometer),Median Value of Owner Occupied Units (Dollars)
02189,Norfolk County,1456.1341395814773,361200
02190,Norfolk County,1043.645462984528,416200
02191,Norfolk County,1780.8083504861643,378500
02199,Suffolk County,10612.118310960688,-
02203,Suffolk County,0.0,-
02205,Suffolk County,67.93524412529976,-
02210,Suffolk County,2430.292287838998,879100
02215,Norfolk County|Suffolk County,11756.420382627255,487600
02301,Plymouth County,2153.356197866193,286700
02302,Plymouth County,1573.7711873543255,270700
02322,Norfolk County,429.78626657886804,364200
02324,Plymouth County,367.3977035783358,380700
02325,Plymouth County,3832.2719101436755,-
02330,Plymouth County,120.52123129747497,308300
02332,Plymouth County,262.1138975948859,657400
02333,Plymouth County,322.9667561842846,372600
02338,Plymouth County,187.29904147074876,345900
02339,Plymouth County,368.59480789993125,550000
02341,Plymouth County,268.5443721588261,385700
02343,Norfolk County,625.8732498721845,335700
02346,Plymouth County,135.58345461094865,329500
02347,Plymouth County,150.32124562057126,395000
02350,Plymouth County,921.8963951139492,-
02351,Plymouth County,662.0454845591696,385000
02356,Bristol County,362.2694816748592,462200
02357,Bristol County,1895.547948611357,-
02359,Plymouth County,325.3669380089773,412800
02360,Plymouth County,244.89711549061784,376800
02364,Plymouth County,283.8793240342077,410800
02366,Plymouth County,715.7393673898796,-
02367,Plymouth County,77.05804077380265,392600
02368,Norfolk County,1450.4679783259294,351700
02370,Plymouth County,685.4041788364761,324700
02375,Bristol County,290.6076330211405,376200
02379,Plymouth County,193.94273768228024,369700
02382,Plymouth County,841.7265698470509,343200
02420,Middlesex County,850.4794851038536,934400
02421,Middlesex County,764.5592763613886,933300
02445,Norfolk County|Suffolk County,3326.8966112795088,1033100
02446,Norfolk County|Suffolk County,9607.472645745303,932800
02451,Middlesex County,1302.9384517073443,585600
02452,Middlesex County,1553.1957914671636,604700
02453,Middlesex County,3424.0302558122735,544800
02457,Norfolk County,2974.232848113936,-
02458,Middlesex County,2517.628012162086,870900
02459,Middlesex County,1458.6907926059557,1101300
02460,Middlesex County,2636.49837266979,886700
02461,Middlesex County,1868.6901839943039,911400
02462,Middlesex County,867.3937884874897,947400
02464,Middlesex County,2239.1853937508986,701500
02465,Middlesex County,2228.3655589275704,882200
02466,Middlesex County,2051.4611735311405,893900
02467,Middlesex County|Norfolk County|Suffolk County,1780.7998046834264,1016300
02468,Middlesex County,1436.0509879794515,1309000
02472,Middlesex County,3390.6326492095836,599100
02474,Middlesex County,3604.289851003498,673500
02476,Middlesex County,3289.1830389517295,709100
02478,Middlesex County,2267.880147944978,902500
02481,Norfolk County,1095.6086572104903,1327100
02482,Norfolk County,1111.302381019827,1081300
02492,Norfolk County,867.5787068020219,923100
02493,Middlesex County,272.03648149011076,1270000
02494,Norfolk County,1479.6488991147476,851500
02532,Barnstable County|Plymouth County,375.56997806005944,369200
02534,Barnstable County,126.7179872165654,578900
02535,Dukes County,26.161624041363066,1375000
02536,Barnstable County,282.0974573132351,366700
02537,Barnstable County,173.8426911051184,449100
02538,Plymouth County,272.9294651149546,276700
02539,Dukes County,74.41770235862357,830000
02540,Barnstable County,296.4674586616477,620300
02542,Barnstable County,10.7261709725683,-
